02:15:25 437 MiB, 0 % RAM:4984MB
02:16:25 21331 MiB, 75 % RAM:14076MB
02:17:25 21331 MiB, 6 % RAM:15922MB
02:18:25 21331 MiB, 74 % RAM:15750MB
02:19:25 21331 MiB, 78 % RAM:15618MB
02:20:25 21331 MiB, 83 % RAM:15595MB
02:21:26 21331 MiB, 79 % RAM:15619MB
02:22:26 21306 MiB, 76 % RAM:15700MB
02:23:26 21306 MiB, 78 % RAM:15670MB
02:24:26 412 MiB, 2 % RAM:4910MB
02:25:26 412 MiB, 0 % RAM:4561MB
02:26:26 21306 MiB, 81 % RAM:13594MB
02:27:26 21306 MiB, 78 % RAM:13395MB
02:28:26 21306 MiB, 78 % RAM:13372MB
02:29:26 21306 MiB, 79 % RAM:13352MB
02:30:26 415 MiB, 2 % RAM:17167MB
02:31:26 21306 MiB, 78 % RAM:13323MB
02:32:26 21306 MiB, 79 % RAM:13276MB
02:33:26 21306 MiB, 80 % RAM:13327MB
02:34:26 21306 MiB, 77 % RAM:12195MB
02:35:26 21306 MiB, 78 % RAM:11963MB
02:36:26 21306 MiB, 78 % RAM:11965MB
02:37:26 21306 MiB, 77 % RAM:11918MB
02:38:26 412 MiB, 2 % RAM:4229MB
02:39:26 412 MiB, 2 % RAM:4439MB
02:40:26 412 MiB, 2 % RAM:4507MB
02:41:26 412 MiB, 1 % RAM:4434MB
02:42:26 7014 MiB, 3 % RAM:5454MB
02:43:26 7014 MiB, 1 % RAM:5143MB
02:44:26 7014 MiB, 0 % RAM:5334MB
02:45:26 8440 MiB, 3 % RAM:6139MB
02:46:26 8440 MiB, 0 % RAM:6030MB
02:47:26 8440 MiB, 0 % RAM:6290MB
02:48:26 8440 MiB, 0 % RAM:6279MB
02:49:26 8440 MiB, 0 % RAM:6119MB
02:50:26 8440 MiB, 0 % RAM:6112MB
02:51:26 8440 MiB, 0 % RAM:6118MB
02:52:26 8440 MiB, 0 % RAM:6112MB
02:53:26 8440 MiB, 0 % RAM:6126MB
02:54:27 8440 MiB, 0 % RAM:6119MB
02:55:27 8440 MiB, 0 % RAM:6145MB
02:56:27 8440 MiB, 0 % RAM:6157MB
02:57:27 8440 MiB, 0 % RAM:6163MB
02:58:27 8440 MiB, 0 % RAM:6166MB
02:59:27 8440 MiB, 0 % RAM:6175MB
03:00:27 8440 MiB, 0 % RAM:6175MB
03:01:27 8440 MiB, 0 % RAM:6183MB
03:02:27 8440 MiB, 0 % RAM:6178MB
03:03:27 8440 MiB, 0 % RAM:6180MB
03:04:27 8440 MiB, 0 % RAM:6181MB
03:05:27 8440 MiB, 0 % RAM:6179MB
03:06:27 8440 MiB, 0 % RAM:6184MB
03:07:27 8440 MiB, 0 % RAM:6189MB
03:08:27 8440 MiB, 0 % RAM:6179MB
03:09:27 8440 MiB, 0 % RAM:6177MB
03:10:27 8440 MiB, 0 % RAM:6153MB
03:11:27 8440 MiB, 0 % RAM:6226MB
03:12:27 8440 MiB, 0 % RAM:6156MB
03:13:27 8440 MiB, 0 % RAM:6220MB
03:14:27 8440 MiB, 0 % RAM:6169MB
03:15:27 8440 MiB, 0 % RAM:6216MB
03:16:27 8440 MiB, 0 % RAM:6167MB
03:17:27 8440 MiB, 0 % RAM:6193MB
03:18:27 8440 MiB, 0 % RAM:6181MB
03:19:27 8440 MiB, 0 % RAM:6189MB
03:20:27 8440 MiB, 0 % RAM:6175MB
03:21:27 8440 MiB, 0 % RAM:6238MB
03:22:28 8440 MiB, 0 % RAM:6191MB
