[g1] 60 samples -> gemini-robotics-er-2-preview
[g1] i=  0 err    1.9 mm
[g1] i=  1 err    1.6 mm
[g1] i=  2 err    2.0 mm
[g1] i=  3 err    2.3 mm
[g1] i=  4 err    2.7 mm
[g1] i=  5 err    2.0 mm
[g1] i=  6 err    2.8 mm
[g1] i=  7 err    1.3 mm
[g1] i=  8 err    1.3 mm
[g1] i=  9 err    2.9 mm
[g1] i= 10 err    2.0 mm
[g1] i= 11 err    2.7 mm
[g1] i= 12 err    0.2 mm
[g1] i= 13 err    2.4 mm
[g1] i= 14 err    2.9 mm
[g1] i= 15 err    3.1 mm
[g1] i= 16 err    2.6 mm
[g1] i= 17 err    2.9 mm
[g1] i= 18 err    3.5 mm
[g1] i= 19 err    4.5 mm
[g1] i= 20 err    1.6 mm
[g1] i= 21 err    2.8 mm
[g1] i= 22 err    1.7 mm
[g1] i= 23 err  660.6 mm
[g1] i= 24 err    4.2 mm
[g1] i= 25 err    0.7 mm
[g1] i= 26 err  189.0 mm
[g1] i= 27 err    1.5 mm
[g1] i= 28 err    3.0 mm
[g1] i= 29 err    3.0 mm
[g1] i= 30 err    3.0 mm
[g1] i= 31 err    1.9 mm
[g1] i= 32 err    3.6 mm
[g1] i= 33 err    2.0 mm
[g1] i= 34 err    3.9 mm
[g1] i= 35 err    2.4 mm
[g1] i= 36 err    0.9 mm
[g1] i= 37 err    2.7 mm
[g1] i= 38 err    1.4 mm
[g1] i= 39 err    3.1 mm
[g1] i= 40 err    2.7 mm
[g1] i= 41 err    2.6 mm
[g1] i= 42 err    2.6 mm
[g1] i= 43 err    5.8 mm
[g1] i= 44 err    2.1 mm
[g1] i= 45 err    2.9 mm
[g1] i= 46 err    0.9 mm
[g1] i= 47 err    2.1 mm
[g1] i= 48 err    6.3 mm
[g1] i= 49 err    2.3 mm
[g1] i= 50 err    2.9 mm
[g1] i= 51 err    1.2 mm
[g1] i= 52 err  190.0 mm
[g1] i= 53 err    2.0 mm
[g1] i= 54 err    2.5 mm
[g1] i= 55 err    2.0 mm
[g1] i= 56 err    3.2 mm
[g1] i= 57 err    1.5 mm
[g1] i= 58 err    2.7 mm
[g1] i= 59 err    3.1 mm
[g1] ======== PASS ========
[g1] answered 60/60 (parse/API fails 0)
[g1] median 2.6 mm | p90 4.5 mm | <=20mm on 57/60 (95%)
[g1] report: /home/oedeh/github/physical-ai-jetson-robotics/reports/perception_bench/g1_report.json
G1DONE
