session,git_sha,seed,turn,attempt,ok,err_mm,final_tilt_deg,steps,lane,far_pick,grasped,hold_armed,closest_approach_mm,failure_class
ludo_soak_s10,ab510cb21,10,1,1,True,20.1,0.0,1688,policy,False,True,True,42.1,
ludo_soak_s10,ab510cb21,10,2,1,True,13.7,0.1,2819,policy,False,True,True,48.8,
ludo_soak_s10,ab510cb21,10,3,1,True,22.7,0.0,8999,fallback,False,True,False,67.2,
ludo_soak_s10,ab510cb21,10,4,1,True,19.8,0.0,4723,fallback,True,True,True,9900.0,
ludo_soak_s10,ab510cb21,10,5,1,True,29.0,0.0,1236,policy,False,True,True,59.2,
ludo_soak_s10,ab510cb21,10,6,1,False,184.6,90.0,1747,policy,False,True,False,41.9,cup toppled
ludo_soak_s10,ab510cb21,10,6,2,True,19.6,0.2,4085,policy,False,True,True,26.4,
ludo_soak_s10,ab510cb21,10,7,1,True,15.9,0.0,4756,fallback,False,True,True,112.5,
ludo_soak_s10,ab510cb21,10,8,1,True,18.7,0.0,3988,fallback,False,True,True,9900.0,
ludo_soak_s10,ab510cb21,10,9,1,True,15.7,0.3,692,policy,False,True,True,51.5,
ludo_soak_s10,ab510cb21,10,10,1,True,22.0,0.0,4152,policy,False,True,True,44.4,
ludo_soak_s10,ab510cb21,10,11,1,True,24.6,0.0,8999,fallback,False,True,False,9900.0,
ludo_soak_s10,ab510cb21,10,12,1,True,14.6,0.0,3474,fallback,True,True,True,146.7,
ludo_soak_s11,fbdd23bc8,11,1,1,True,18.9,0.0,4309,policy,False,True,True,59.5,
ludo_soak_s11,fbdd23bc8,11,2,1,True,19.7,0.0,3640,policy,False,True,True,44.1,
ludo_soak_s11,fbdd23bc8,11,3,1,True,19.2,0.0,4933,fallback,False,True,True,9900.0,
ludo_soak_s11,fbdd23bc8,11,4,1,True,20.0,0.0,8999,fallback,True,True,False,106.5,
ludo_soak_s11,fbdd23bc8,11,5,1,False,100.3,90.0,1598,policy,False,True,False,42.3,cup toppled
ludo_soak_s11,fbdd23bc8,11,5,2,True,25.0,0.0,1403,policy,False,True,True,59.2,
ludo_soak_s11,fbdd23bc8,11,6,1,True,19.4,0.0,6322,policy,False,True,True,51.1,
ludo_soak_s11,fbdd23bc8,11,7,1,True,14.3,0.0,3607,fallback,False,True,True,73.3,
ludo_soak_s11,fbdd23bc8,11,8,1,True,8.4,0.0,4945,fallback,False,True,True,9900.0,
ludo_soak_s11,fbdd23bc8,11,9,1,True,16.8,0.2,1597,policy,False,True,True,59.8,
ludo_soak_s11,fbdd23bc8,11,10,1,True,18.8,0.0,6424,policy,False,True,True,55.1,
ludo_soak_s11,fbdd23bc8,11,11,1,True,19.4,0.0,8598,fallback,False,True,True,9900.0,
ludo_soak_s11,fbdd23bc8,11,12,1,True,16.8,0.1,8999,fallback,True,True,True,104.6,
ludo_soak_s12,fbdd23bc8,12,1,1,False,40.5,1.3,8999,fallback,False,True,False,61.2,near-miss placement (35-60mm)
ludo_soak_s12,fbdd23bc8,12,1,2,True,17.9,0.0,3707,fallback,False,True,True,63.1,
ludo_soak_s12,fbdd23bc8,12,2,1,True,19.9,0.0,2649,policy,False,True,True,56.9,
ludo_soak_s12,fbdd23bc8,12,3,1,True,12.2,0.0,4769,fallback,False,True,True,9900.0,
ludo_soak_s12,fbdd23bc8,12,4,1,True,14.4,0.0,4978,fallback,False,True,True,9900.0,
ludo_soak_s12,fbdd23bc8,12,5,1,False,121.0,0.0,8999,policy,True,False,False,9900.0,never-grasped (approach failed)
ludo_soak_s12,fbdd23bc8,12,5,2,False,126.4,0.0,8999,fallback,True,False,False,9900.0,never-grasped (approach failed)
ludo_soak_s12,fbdd23bc8,12,6,1,True,18.2,0.0,4280,fallback,False,True,True,9900.0,
ludo_soak_s12,fbdd23bc8,12,7,1,True,17.9,0.0,3534,fallback,False,True,True,9900.0,
ludo_soak_s12,fbdd23bc8,12,8,1,True,19.4,0.0,6472,policy,False,True,True,58.8,
ludo_soak_s12,fbdd23bc8,12,9,1,True,23.8,0.0,8999,policy,True,False,False,9900.0,
ludo_soak_s12,fbdd23bc8,12,10,1,True,34.6,0.0,8999,fallback,False,True,False,9900.0,
ludo_soak_s12,fbdd23bc8,12,11,1,True,14.8,0.0,1807,policy,False,True,True,47.7,
ludo_soak_s12,fbdd23bc8,12,12,1,True,19.9,0.0,4661,policy,False,True,True,46.9,
ludo_soak_s4,608c40200,4,1,1,True,19.2,0.0,1933,policy,False,True,True,58.1,
ludo_soak_s4,608c40200,4,2,1,True,8.4,0.0,2245,policy,False,True,True,57.4,
ludo_soak_s4,608c40200,4,3,1,True,8.4,1.0,1438,policy,False,True,True,37.0,
ludo_soak_s4,608c40200,4,4,1,True,18.2,0.0,5738,fallback,True,True,True,61.6,
ludo_soak_s4,608c40200,4,5,1,True,17.2,0.0,5570,fallback,False,True,True,80.9,
ludo_soak_s4,608c40200,4,6,1,True,18.9,0.0,955,policy,False,True,True,53.2,
ludo_soak_s4,608c40200,4,7,1,False,173.6,90.0,3422,fallback,False,True,False,75.8,cup toppled
ludo_soak_s4,608c40200,4,7,2,False,41.4,0.0,8999,fallback,False,True,False,112.1,near-miss placement (35-60mm)
ludo_soak_s4,608c40200,4,8,1,True,19.7,0.0,3737,fallback,False,True,True,88.3,
ludo_soak_s4,608c40200,4,9,1,True,16.3,0.0,4913,policy,False,True,True,59.2,
ludo_soak_s4,608c40200,4,10,1,True,24.1,0.0,999,policy,False,True,True,58.9,
